diagnosisYear,ageBand,sex,dep,region,stage,route,count,rate,ciLb,ciUb
2017,0-49,All Persons,All IMD Quintiles,East Midlands,Early,All Routes,SUPPRESSED; n<10,0.1,0,0.2
2018,0-49,All Persons,All IMD Quintiles,East Midlands,Early,All Routes,SUPPRESSED; n<10,0,0,0.1
2019,0-49,All Persons,All IMD Quintiles,East Midlands,Early,All Routes,SUPPRESSED; n<10,0.1,0,0.2
2020,0-49,All Persons,All IMD Quintiles,East Midlands,Early,All Routes,SUPPRESSED; n<10,0,0,0
2021,0-49,All Persons,All IMD Quintiles,East Midlands,Early,All Routes,SUPPRESSED; n<10,0.1,0,0.3
2022,0-49,All Persons,All IMD Quintiles,East Midlands,Early,All Routes,#N/A,#N/A,#N/A,#N/A
2023,0-49,All Persons,All IMD Quintiles,East Midlands,Early,All Routes,#N/A,#N/A,#N/A,#N/A
allyears,0-49,All Persons,All IMD Quintiles,East Midlands,Early,All Routes,0,0.1,0,0.1
2016,0-49,All Persons,All IMD Quintiles,East Midlands,Advanced,All Routes,SUPPRESSED; n<10,0.1,0,0.2
2017,0-49,All Persons,All IMD Quintiles,East Midlands,Advanced,All Routes,SUPPRESSED; n<10,0.1,0,0.3
2018,0-49,All Persons,All IMD Quintiles,East Midlands,Advanced,All Routes,SUPPRESSED; n<10,0.1,0,0.2
2019,0-49,All Persons,All IMD Quintiles,East Midlands,Advanced,All Routes,SUPPRESSED; n<10,0.1,0,0.2
2020,0-49,All Persons,All IMD Quintiles,East Midlands,Advanced,All Routes,SUPPRESSED; n<10,0.1,0,0.2
2021,0-49,All Persons,All IMD Quintiles,East Midlands,Advanced,All Routes,SUPPRESSED; n<10,0.1,0,0.3
2022,0-49,All Persons,All IMD Quintiles,East Midlands,Advanced,All Routes,#N/A,#N/A,#N/A,#N/A
2023,0-49,All Persons,All IMD Quintiles,East Midlands,Advanced,All Routes,#N/A,#N/A,#N/A,#N/A
allyears,0-49,All Persons,All IMD Quintiles,East Midlands,Advanced,All Routes,0,0.1,0,0.1
2016,0-49,All Persons,All IMD Quintiles,East of England,All Stages,All Routes,10,0.3,0.1,0.5
