diagnosisYear,ageBand,sex,dep,region,stage,route,rate,ciLb,ciUb
2023,70-74,Male,IMD2,London,All Stages,All Routes,104.79,104.79,104.79
allyears,70-74,Male,IMD2,London,All Stages,All Routes,9.59,5.49,13.69
2016,75-79,Male,IMD2,London,All Stages,All Routes,48.44,48.44,48.44
2017,75-79,Male,IMD2,London,All Stages,All Routes,66.7,66.69,66.7
2018,75-79,Male,IMD2,London,All Stages,All Routes,112.31,112.31,112.32
2019,75-79,Male,IMD2,London,All Stages,All Routes,93.76,93.76,93.76
2020,75-79,Male,IMD2,London,All Stages,All Routes,89.38,89.38,89.38
2021,75-79,Male,IMD2,London,All Stages,All Routes,93.85,93.85,93.85
2022,75-79,Male,IMD2,London,All Stages,All Routes,115.13,115.13,115.13
2023,75-79,Male,IMD2,London,All Stages,All Routes,96.71,96.71,96.71
allyears,75-79,Male,IMD2,London,All Stages,All Routes,9.73,4.8,14.65
2016,80-84,Male,IMD2,London,All Stages,All Routes,63.94,63.94,63.94
2017,80-84,Male,IMD2,London,All Stages,All Routes,87.64,87.64,87.65
2018,80-84,Male,IMD2,London,All Stages,All Routes,54.88,54.88,54.88
2019,80-84,Male,IMD2,London,All Stages,All Routes,95.98,95.97,95.98
2020,80-84,Male,IMD2,London,All Stages,All Routes,36.18,36.18,36.18
2021,80-84,Male,IMD2,London,All Stages,All Routes,89.9,89.89,89.9
2022,80-84,Male,IMD2,London,All Stages,All Routes,62.63,62.63,62.64
2023,80-84,Male,IMD2,London,All Stages,All Routes,111.35,111.35,111.35
allyears,80-84,Male,IMD2,London,All Stages,All Routes,3.63,0.07,7.19
2016,85-89,Male,IMD2,London,All Stages,All Routes,92.98,92.97,92.99
2017,85-89,Male,IMD2,London,All Stages,All Routes,66.28,66.28,66.29
2018,85-89,Male,IMD2,London,All Stages,All Routes,54.9,54.89,54.9
2019,85-89,Male,IMD2,London,All Stages,All Routes,63.1,63.09,63.1
2020,85-89,Male,IMD2,London,All Stages,All Routes,41.91,41.9,41.91
2021,85-89,Male,IMD2,London,All Stages,All Routes,79.29,79.28,79.3
2022,85-89,Male,IMD2,London,All Stages,All Routes,77.02,77.01,77.03
2023,85-89,Male,IMD2,London,All Stages,All Routes,77.02,77.01,77.03
allyears,85-89,Male,IMD2,London,All Stages,All Routes,11.44,2.97,19.92
2016,90+,Male,IMD2,London,All Stages,All Routes,0,0,0
2017,90+,Male,IMD2,London,All Stages,All Routes,22.85,22.84,22.86
2018,90+,Male,IMD2,London,All Stages,All Routes,43.73,43.72,43.75
2019,90+,Male,IMD2,London,All Stages,All Routes,102.21,102.19,102.23
2020,90+,Male,IMD2,London,All Stages,All Routes,39.57,39.56,39.58
2021,90+,Male,IMD2,London,All Stages,All Routes,139.51,139.47,139.54
2022,90+,Male,IMD2,London,All Stages,All Routes,105.68,105.65,105.71
2023,90+,Male,IMD2,London,All Stages,All Routes,79.26,79.24,79.28
allyears,90+,Male,IMD2,London,All Stages,All Routes,3.29,-3.16,9.74
2016,all ages,Male,IMD2,London,All Stages,All Routes,26.52,22.79,30.24
2017,all ages,Male,IMD2,London,All Stages,All Routes,28.63,24.83,32.43
2018,all ages,Male,IMD2,London,All Stages,All Routes,27.42,23.68,31.16
2019,all ages,Male,IMD2,London,All Stages,All Routes,30.8,26.94,34.65
2020,all ages,Male,IMD2,London,All Stages,All Routes,26.91,23.37,30.45
2021,all ages,Male,IMD2,London,All Stages,All Routes,33.19,28.99,37.38
2022,all ages,Male,IMD2,London,All Stages,All Routes,26.54,22.8,30.28
2023,all ages,Male,IMD2,London,All Stages,All Routes,28.39,24.51,32.26
allyears,all ages,Male,IMD2,London,All Stages,All Routes,2.5,2.07,2.94
2016,0-49,Female,IMD2,London,All Stages,All Routes,2.08,2.08,2.08
2017,0-49,Female,IMD2,London,All Stages,All Routes,1.42,1.42,1.42
2018,0-49,Female,IMD2,London,All Stages,All Routes,2.26,2.26,2.26
2019,0-49,Female,IMD2,London,All Stages,All Routes,1.98,1.98,1.98
2020,0-49,Female,IMD2,London,All Stages,All Routes,1.42,1.42,1.42
2021,0-49,Female,IMD2,London,All Stages,All Routes,2.34,2.34,2.34
2022,0-49,Female,IMD2,London,All Stages,All Routes,2.14,2.14,2.14
2023,0-49,Female,IMD2,London,All Stages,All Routes,0.78,0.78,0.78
allyears,0-49,Female,IMD2,London,All Stages,All Routes,0.12,0.04,0.2
2016,50-54,Female,IMD2,London,All Stages,All Routes,5.95,5.95,5.95
2017,50-54,Female,IMD2,London,All Stages,All Routes,9.33,9.33,9.33
2018,50-54,Female,IMD2,London,All Stages,All Routes,13.83,13.83,13.83
2019,50-54,Female,IMD2,London,All Stages,All Routes,14.84,14.84,14.84
2020,50-54,Female,IMD2,London,All Stages,All Routes,9.08,9.08,9.08
2021,50-54,Female,IMD2,London,All Stages,All Routes,7.9,7.9,7.9
2022,50-54,Female,IMD2,London,All Stages,All Routes,13.67,13.67,13.67
2023,50-54,Female,IMD2,London,All Stages,All Routes,7.97,7.97,7.97
allyears,50-54,Female,IMD2,London,All Stages,All Routes,0.66,0.01,1.3
2016,55-59,Female,IMD2,London,All Stages,All Routes,14.9,14.9,14.9
2017,55-59,Female,IMD2,London,All Stages,All Routes,11.42,11.42,11.42
2018,55-59,Female,IMD2,London,All Stages,All Routes,23.19,23.19,23.19
2019,55-59,Female,IMD2,London,All Stages,All Routes,13.13,13.13,13.13
2020,55-59,Female,IMD2,London,All Stages,All Routes,16.57,16.57,16.57
2021,55-59,Female,IMD2,London,All Stages,All Routes,17.6,17.6,17.6
2022,55-59,Female,IMD2,London,All Stages,All Routes,16.13,16.13,16.13
2023,55-59,Female,IMD2,London,All Stages,All Routes,19.86,19.86,19.86
allyears,55-59,Female,IMD2,London,All Stages,All Routes,0.95,0.12,1.79
2016,60-64,Female,IMD2,London,All Stages,All Routes,45.76,45.76,45.76
2017,60-64,Female,IMD2,London,All Stages,All Routes,18.41,18.41,18.41
2018,60-64,Female,IMD2,London,All Stages,All Routes,24.75,24.75,24.75
2019,60-64,Female,IMD2,London,All Stages,All Routes,11.96,11.96,11.96
2020,60-64,Female,IMD2,London,All Stages,All Routes,29.45,29.45,29.45
2021,60-64,Female,IMD2,London,All Stages,All Routes,36.12,36.12,36.12
2022,60-64,Female,IMD2,London,All Stages,All Routes,29.96,29.96,29.96
2023,60-64,Female,IMD2,London,All Stages,All Routes,23.66,23.66,23.66
allyears,60-64,Female,IMD2,London,All Stages,All Routes,1.23,0.15,2.3
2016,65-69,Female,IMD2,London,All Stages,All Routes,34.14,34.14,34.14
2017,65-69,Female,IMD2,London,All Stages,All Routes,27.23,27.23,27.23
2018,65-69,Female,IMD2,London,All Stages,All Routes,35.66,35.66,35.66
2019,65-69,Female,IMD2,London,All Stages,All Routes,23.86,23.86,23.86
2020,65-69,Female,IMD2,London,All Stages,All Routes,29.62,29.62,29.62
2021,65-69,Female,IMD2,London,All Stages,All Routes,46.63,46.63,46.63
2022,65-69,Female,IMD2,London,All Stages,All Routes,36.66,36.66,36.67
2023,65-69,Female,IMD2,London,All Stages,All Routes,19.41,19.41,19.41
allyears,65-69,Female,IMD2,London,All Stages,All Routes,0.94,-0.12,2.01
2016,70-74,Female,IMD2,London,All Stages,All Routes,18.1,18.1,18.1
2017,70-74,Female,IMD2,London,All Stages,All Routes,25.75,25.75,25.75
2018,70-74,Female,IMD2,London,All Stages,All Routes,16.54,16.54,16.54
2019,70-74,Female,IMD2,London,All Stages,All Routes,26.69,26.69,26.69
2020,70-74,Female,IMD2,London,All Stages,All Routes,33.22,33.22,33.22
2021,70-74,Female,IMD2,London,All Stages,All Routes,35.26,35.26,35.27
2022,70-74,Female,IMD2,London,All Stages,All Routes,29.95,29.95,29.95
2023,70-74,Female,IMD2,London,All Stages,All Routes,32.68,32.68,32.68
allyears,70-74,Female,IMD2,London,All Stages,All Routes,1.18,-0.16,2.51
2016,75-79,Female,IMD2,London,All Stages,All Routes,29.15,29.15,29.15
2017,75-79,Female,IMD2,London,All Stages,All Routes,10.91,10.91,10.91
2018,75-79,Female,IMD2,London,All Stages,All Routes,32.71,32.71,32.71
2019,75-79,Female,IMD2,London,All Stages,All Routes,28.79,28.79,28.79
2020,75-79,Female,IMD2,London,All Stages,All Routes,25.09,25.09,25.09
2021,75-79,Female,IMD2,London,All Stages,All Routes,22.33,22.33,22.33
2022,75-79,Female,IMD2,London,All Stages,All Routes,24.87,24.87,24.87
2023,75-79,Female,IMD2,London,All Stages,All Routes,49.74,49.74,49.74
allyears,75-79,Female,IMD2,London,All Stages,All Routes,0.52,-0.5,1.53
2016,80-84,Female,IMD2,London,All Stages,All Routes,14.32,14.32,14.32
2017,80-84,Female,IMD2,London,All Stages,All Routes,28.2,28.2,28.21
2018,80-84,Female,IMD2,London,All Stages,All Routes,22.92,22.92,22.92
2019,80-84,Female,IMD2,London,All Stages,All Routes,40.7,40.7,40.7
2020,80-84,Female,IMD2,London,All Stages,All Routes,40.5,40.5,40.5
2021,80-84,Female,IMD2,London,All Stages,All Routes,19.52,19.52,19.53
2022,80-84,Female,IMD2,London,All Stages,All Routes,24.66,24.66,24.66
2023,80-84,Female,IMD2,London,All Stages,All Routes,29.59,29.59,29.59
allyears,80-84,Female,IMD2,London,All Stages,All Routes,1.34,-0.52,3.2
2016,85-89,Female,IMD2,London,All Stages,All Routes,14.59,14.59,14.59
2017,85-89,Female,IMD2,London,All Stages,All Routes,35.92,35.92,35.93
2018,85-89,Female,IMD2,London,All Stages,All Routes,14.39,14.39,14.39
2019,85-89,Female,IMD2,London,All Stages,All Routes,42.38,42.38,42.38
2020,85-89,Female,IMD2,London,All Stages,All Routes,27.95,27.95,27.95
2021,85-89,Female,IMD2,London,All Stages,All Routes,72,72,72
2022,85-89,Female,IMD2,London,All Stages,All Routes,31.46,31.45,31.46
2023,85-89,Female,IMD2,London,All Stages,All Routes,70.78,70.77,70.78
allyears,85-89,Female,IMD2,London,All Stages,All Routes,1.05,-1.01,3.11
2016,90+,Female,IMD2,London,All Stages,All Routes,44.63,44.62,44.63
2017,90+,Female,IMD2,London,All Stages,All Routes,11.17,11.17,11.18
2018,90+,Female,IMD2,London,All Stages,All Routes,33.25,33.25,33.26
2019,90+,Female,IMD2,London,All Stages,All Routes,42.24,42.23,42.24
2020,90+,Female,IMD2,London,All Stages,All Routes,41.71,41.7,41.71
2021,90+,Female,IMD2,London,All Stages,All Routes,36.32,36.31,36.32
2022,90+,Female,IMD2,London,All Stages,All Routes,48.5,48.5,48.51
2023,90+,Female,IMD2,London,All Stages,All Routes,0,0,0
allyears,90+,Female,IMD2,London,All Stages,All Routes,3.2,-1.23,7.63
2016,all ages,Female,IMD2,London,All Stages,All Routes,10.37,8.25,12.5
2017,all ages,Female,IMD2,London,All Stages,All Routes,7.94,6.1,9.78
2018,all ages,Female,IMD2,London,All Stages,All Routes,10.56,8.48,12.63
2019,all ages,Female,IMD2,London,All Stages,All Routes,9.69,7.7,11.68
2020,all ages,Female,IMD2,London,All Stages,All Routes,10.49,8.42,12.55
2021,all ages,Female,IMD2,London,All Stages,All Routes,12.44,10.16,14.73
2022,all ages,Female,IMD2,London,All Stages,All Routes,11.19,9.06,13.33
2023,all ages,Female,IMD2,London,All Stages,All Routes,10.24,8.13,12.35
allyears,all ages,Female,IMD2,London,All Stages,All Routes,0.47,0.31,0.63
2016,0-49,All Persons,IMD3,London,All Stages,All Routes,2.53,2.53,2.53
2017,0-49,All Persons,IMD3,London,All Stages,All Routes,2.46,2.46,2.46
2018,0-49,All Persons,IMD3,London,All Stages,All Routes,2.78,2.78,2.78
2019,0-49,All Persons,IMD3,London,All Stages,All Routes,2.3,2.3,2.3
2020,0-49,All Persons,IMD3,London,All Stages,All Routes,2.3,2.3,2.3
2021,0-49,All Persons,IMD3,London,All Stages,All Routes,2.95,2.95,2.95
2022,0-49,All Persons,IMD3,London,All Stages,All Routes,2.29,2.29,2.29
2023,0-49,All Persons,IMD3,London,All Stages,All Routes,1.86,1.86,1.86
allyears,0-49,All Persons,IMD3,London,All Stages,All Routes,2.77,2.44,3.1
2016,50-54,All Persons,IMD3,London,All Stages,All Routes,12.37,12.37,12.37
2017,50-54,All Persons,IMD3,London,All Stages,All Routes,27.61,27.61,27.61
2018,50-54,All Persons,IMD3,London,All Stages,All Routes,22.44,22.44,22.44
2019,50-54,All Persons,IMD3,London,All Stages,All Routes,27.91,27.91,27.91
2020,50-54,All Persons,IMD3,London,All Stages,All Routes,14.22,14.22,14.22
2021,50-54,All Persons,IMD3,London,All Stages,All Routes,24.51,24.51,24.51
2022,50-54,All Persons,IMD3,London,All Stages,All Routes,19.89,19.89,19.89
2023,50-54,All Persons,IMD3,London,All Stages,All Routes,16.7,16.7,16.7
allyears,50-54,All Persons,IMD3,London,All Stages,All Routes,23.7,20.46,26.93
2016,55-59,All Persons,IMD3,London,All Stages,All Routes,43.64,43.64,43.64
2017,55-59,All Persons,IMD3,London,All Stages,All Routes,22.1,22.1,22.1
2018,55-59,All Persons,IMD3,London,All Stages,All Routes,41.98,41.98,41.98
2019,55-59,All Persons,IMD3,London,All Stages,All Routes,22.65,22.65,22.65
2020,55-59,All Persons,IMD3,London,All Stages,All Routes,25.63,25.63,25.63
2021,55-59,All Persons,IMD3,London,All Stages,All Routes,34.91,34.91,34.91
2022,55-59,All Persons,IMD3,London,All Stages,All Routes,26.26,26.26,26.26
2023,55-59,All Persons,IMD3,London,All Stages,All Routes,20.13,20.13,20.13
allyears,55-59,All Persons,IMD3,London,All Stages,All Routes,33.89,29.78,38
2016,60-64,All Persons,IMD3,London,All Stages,All Routes,43.18,43.18,43.18
2017,60-64,All Persons,IMD3,London,All Stages,All Routes,36,36,36
2018,60-64,All Persons,IMD3,London,All Stages,All Routes,44.24,44.24,44.24
2019,60-64,All Persons,IMD3,London,All Stages,All Routes,36.11,36.11,36.12
2020,60-64,All Persons,IMD3,London,All Stages,All Routes,40.5,40.5,40.51
2021,60-64,All Persons,IMD3,London,All Stages,All Routes,23.33,23.33,23.34
2022,60-64,All Persons,IMD3,London,All Stages,All Routes,41.54,41.54,41.54
2023,60-64,All Persons,IMD3,London,All Stages,All Routes,43.68,43.67,43.68
allyears,60-64,All Persons,IMD3,London,All Stages,All Routes,44.02,38.83,49.22
2016,65-69,All Persons,IMD3,London,All Stages,All Routes,51.92,51.92,51.92
2017,65-69,All Persons,IMD3,London,All Stages,All Routes,52.79,52.79,52.79
2018,65-69,All Persons,IMD3,London,All Stages,All Routes,34.06,34.06,34.06
2019,65-69,All Persons,IMD3,London,All Stages,All Routes,49.15,49.15,49.15
2020,65-69,All Persons,IMD3,London,All Stages,All Routes,45.44,45.44,45.44
2021,65-69,All Persons,IMD3,London,All Stages,All Routes,46.19,46.19,46.19
2022,65-69,All Persons,IMD3,London,All Stages,All Routes,37.81,37.81,37.81
2023,65-69,All Persons,IMD3,London,All Stages,All Routes,51.81,51.81,51.82
allyears,65-69,All Persons,IMD3,London,All Stages,All Routes,52.56,46.29,58.83
2016,70-74,All Persons,IMD3,London,All Stages,All Routes,61.55,61.55,61.55
2017,70-74,All Persons,IMD3,London,All Stages,All Routes,52.21,52.21,52.21
2018,70-74,All Persons,IMD3,London,All Stages,All Routes,61.63,61.63,61.63
2019,70-74,All Persons,IMD3,London,All Stages,All Routes,58.17,58.17,58.17
2020,70-74,All Persons,IMD3,London,All Stages,All Routes,45.74,45.74,45.74
2021,70-74,All Persons,IMD3,London,All Stages,All Routes,43.59,43.59,43.59
2022,70-74,All Persons,IMD3,London,All Stages,All Routes,50.44,50.44,50.44
2023,70-74,All Persons,IMD3,London,All Stages,All Routes,72.29,72.29,72.29
allyears,70-74,All Persons,IMD3,London,All Stages,All Routes,62.39,55.02,69.76
2016,75-79,All Persons,IMD3,London,All Stages,All Routes,38.35,38.35,38.35
2017,75-79,All Persons,IMD3,London,All Stages,All Routes,40.59,40.59,40.59
2018,75-79,All Persons,IMD3,London,All Stages,All Routes,61.28,61.28,61.29
2019,75-79,All Persons,IMD3,London,All Stages,All Routes,64.86,64.86,64.86
2020,75-79,All Persons,IMD3,London,All Stages,All Routes,47.82,47.82,47.82
2021,75-79,All Persons,IMD3,London,All Stages,All Routes,54.38,54.38,54.38
2022,75-79,All Persons,IMD3,London,All Stages,All Routes,69.88,69.88,69.88
2023,75-79,All Persons,IMD3,London,All Stages,All Routes,50.82,50.82,50.82
allyears,75-79,All Persons,IMD3,London,All Stages,All Routes,61.64,53.07,70.2
2016,80-84,All Persons,IMD3,London,All Stages,All Routes,40.49,40.49,40.49
2017,80-84,All Persons,IMD3,London,All Stages,All Routes,55.05,55.05,55.05
2018,80-84,All Persons,IMD3,London,All Stages,All Routes,50.8,50.8,50.8
2019,80-84,All Persons,IMD3,London,All Stages,All Routes,43.72,43.72,43.72
2020,80-84,All Persons,IMD3,London,All Stages,All Routes,43.81,43.81,43.81
2021,80-84,All Persons,IMD3,London,All Stages,All Routes,57.55,57.54,57.55
2022,80-84,All Persons,IMD3,London,All Stages,All Routes,66.51,66.51,66.51
2023,80-84,All Persons,IMD3,London,All Stages,All Routes,38.01,38.01,38.01
allyears,80-84,All Persons,IMD3,London,All Stages,All Routes,56.24,46.79,65.69
2016,85-89,All Persons,IMD3,London,All Stages,All Routes,45.05,45.05,45.05
2017,85-89,All Persons,IMD3,London,All Stages,All Routes,58.59,58.59,58.59
2018,85-89,All Persons,IMD3,London,All Stages,All Routes,47.67,47.67,47.67
2019,85-89,All Persons,IMD3,London,All Stages,All Routes,47.12,47.12,47.12
2020,85-89,All Persons,IMD3,London,All Stages,All Routes,47.22,47.22,47.22
2021,85-89,All Persons,IMD3,London,All Stages,All Routes,29.99,29.99,29.99
2022,85-89,All Persons,IMD3,London,All Stages,All Routes,39.51,39.51,39.52
2023,85-89,All Persons,IMD3,London,All Stages,All Routes,44.45,44.45,44.45
allyears,85-89,All Persons,IMD3,London,All Stages,All Routes,50.41,39.08,61.75
2016,90+,All Persons,IMD3,London,All Stages,All Routes,52.32,52.32,52.32
2017,90+,All Persons,IMD3,London,All Stages,All Routes,50.73,50.72,50.73
2018,90+,All Persons,IMD3,London,All Stages,All Routes,41.24,41.24,41.25
2019,90+,All Persons,IMD3,London,All Stages,All Routes,62.19,62.19,62.19
2020,90+,All Persons,IMD3,London,All Stages,All Routes,37.88,37.88,37.89
2021,90+,All Persons,IMD3,London,All Stages,All Routes,39.35,39.35,39.36
2022,90+,All Persons,IMD3,London,All Stages,All Routes,32.82,32.81,32.82
2023,90+,All Persons,IMD3,London,All Stages,All Routes,49.22,49.22,49.23
allyears,90+,All Persons,IMD3,London,All Stages,All Routes,51.73,36.78,66.68
2016,all ages,All Persons,IMD3,London,All Stages,All Routes,17.52,15.27,19.77
2017,all ages,All Persons,IMD3,London,All Stages,All Routes,16.93,14.75,19.11
2018,all ages,All Persons,IMD3,London,All Stages,All Routes,18.45,16.2,20.71
2019,all ages,All Persons,IMD3,London,All Stages,All Routes,17.62,15.42,19.83
2020,all ages,All Persons,IMD3,London,All Stages,All Routes,15.37,13.35,17.4
2021,all ages,All Persons,IMD3,London,All Stages,All Routes,16.36,14.44,18.28
2022,all ages,All Persons,IMD3,London,All Stages,All Routes,16.97,14.82,19.12
2023,all ages,All Persons,IMD3,London,All Stages,All Routes,16.84,14.68,19
allyears,all ages,All Persons,IMD3,London,All Stages,All Routes,19.35,18.49,20.21
2016,0-49,Male,IMD3,London,All Stages,All Routes,5.33,5.33,5.33
2017,0-49,Male,IMD3,London,All Stages,All Routes,5.53,5.53,5.53
2018,0-49,Male,IMD3,London,All Stages,All Routes,5.32,5.32,5.32
2019,0-49,Male,IMD3,London,All Stages,All Routes,4.47,4.47,4.47
2020,0-49,Male,IMD3,London,All Stages,All Routes,4.9,4.9,4.9
2021,0-49,Male,IMD3,London,All Stages,All Routes,5.79,5.79,5.79
2022,0-49,Male,IMD3,London,All Stages,All Routes,4.21,4.21,4.21
2023,0-49,Male,IMD3,London,All Stages,All Routes,3.32,3.32,3.32
allyears,0-49,Male,IMD3,London,All Stages,All Routes,0.15,0.02,0.29
2016,50-54,Male,IMD3,London,All Stages,All Routes,18.66,18.66,18.66
2017,50-54,Male,IMD3,London,All Stages,All Routes,47.87,47.87,47.87
2018,50-54,Male,IMD3,London,All Stages,All Routes,35.21,35.21,35.21
2019,50-54,Male,IMD3,London,All Stages,All Routes,46.63,46.63,46.64
2020,50-54,Male,IMD3,London,All Stages,All Routes,24.5,24.5,24.5
2021,50-54,Male,IMD3,London,All Stages,All Routes,42.2,42.2,42.2
2022,50-54,Male,IMD3,London,All Stages,All Routes,39.09,39.09,39.09
2023,50-54,Male,IMD3,London,All Stages,All Routes,29.32,29.32,29.32
allyears,50-54,Male,IMD3,London,All Stages,All Routes,1.61,0.32,2.91
2016,55-59,Male,IMD3,London,All Stages,All Routes,73.25,73.25,73.25
2017,55-59,Male,IMD3,London,All Stages,All Routes,34.56,34.56,34.56
2018,55-59,Male,IMD3,London,All Stages,All Routes,57.58,57.57,57.58
2019,55-59,Male,IMD3,London,All Stages,All Routes,36.8,36.8,36.8
2020,55-59,Male,IMD3,London,All Stages,All Routes,41.42,41.42,41.42
2021,55-59,Male,IMD3,London,All Stages,All Routes,56.98,56.98,56.98
2022,55-59,Male,IMD3,London,All Stages,All Routes,39.38,39.38,39.38
2023,55-59,Male,IMD3,London,All Stages,All Routes,33.76,33.76,33.76
allyears,55-59,Male,IMD3,London,All Stages,All Routes,4.19,2.07,6.31
2016,60-64,Male,IMD3,London,All Stages,All Routes,54.86,54.86,54.86
2017,60-64,Male,IMD3,London,All Stages,All Routes,56.12,56.12,56.12
2018,60-64,Male,IMD3,London,All Stages,All Routes,64.18,64.18,64.18
2019,60-64,Male,IMD3,London,All Stages,All Routes,49.04,49.04,49.04
2020,60-64,Male,IMD3,London,All Stages,All Routes,63.01,63,63.01
2021,60-64,Male,IMD3,London,All Stages,All Routes,29.85,29.85,29.85
