diagnosisYear,ageBand,sex,dep,region,stage,route,count,rate,ciLb,ciUb,table
2022,0-49,All Persons,All IMD Quintiles,East Midlands,All Stages,All Routes,30,1.0,0.6,1.4,region_East Midlands
2023,0-49,All Persons,All IMD Quintiles,East Midlands,All Stages,All Routes,20,0.7,0.4,1.0,region_East Midlands
allyears,0-49,All Persons,All IMD Quintiles,East Midlands,All Stages,All Routes,255,1.3,1.1,1.4,
2016,0-49,All Persons,All IMD Quintiles,East Midlands,All Stages,Emergency,SUPPRESSED; n<10,0.1,0.0,0.2,region_East Midlands_rtd_emergency
2017,0-49,All Persons,All IMD Quintiles,East Midlands,All Stages,Emergency,SUPPRESSED; n<10,0.2,0.0,0.3,region_East Midlands_rtd_emergency
2018,0-49,All Persons,All IMD Quintiles,East Midlands,All Stages,Emergency,SUPPRESSED; n<10,0.1,0.0,0.2,region_East Midlands_rtd_emergency
2019,0-49,All Persons,All IMD Quintiles,East Midlands,All Stages,Emergency,#N/A,#N/A,#N/A,#N/A,region_East Midlands_rtd_emergency
2020,0-49,All Persons,All IMD Quintiles,East Midlands,All Stages,Emergency,#N/A,#N/A,#N/A,#N/A,region_East Midlands_rtd_emergency
2021,0-49,All Persons,All IMD Quintiles,East Midlands,All Stages,Emergency,#N/A,#N/A,#N/A,#N/A,region_East Midlands_rtd_emergency
2022,0-49,All Persons,All IMD Quintiles,East Midlands,All Stages,Emergency,SUPPRESSED; n<10,0.0,0.0,0.1,region_East Midlands_rtd_emergency
2023,0-49,All Persons,All IMD Quintiles,East Midlands,All Stages,Emergency,SUPPRESSED; n<10,0.1,0.0,0.2,region_East Midlands_rtd_emergency
allyears,0-49,All Persons,All IMD Quintiles,East Midlands,All Stages,Emergency,0,0.1,0.0,0.1,
2016,0-49,All Persons,All IMD Quintiles,East Midlands,All Stages,Non-emergency,30,1.0,0.7,1.4,region_East Midlands_rtd_non_emergency
2017,0-49,All Persons,All IMD Quintiles,East Midlands,All Stages,Non-emergency,40,1.4,1.0,1.9,region_East Midlands_rtd_non_emergency
2018,0-49,All Persons,All IMD Quintiles,East Midlands,All Stages,Non-emergency,25,0.8,0.5,1.2,region_East Midlands_rtd_non_emergency
2019,0-49,All Persons,All IMD Quintiles,East Midlands,All Stages,Non-emergency,#N/A,#N/A,#N/A,#N/A,region_East Midlands_rtd_non_emergency
2020,0-49,All Persons,All IMD Quintiles,East Midlands,All Stages,Non-emergency,#N/A,#N/A,#N/A,#N/A,region_East Midlands_rtd_non_emergency
2021,0-49,All Persons,All IMD Quintiles,East Midlands,All Stages,Non-emergency,#N/A,#N/A,#N/A,#N/A,region_East Midlands_rtd_non_emergency
2022,0-49,All Persons,All IMD Quintiles,East Midlands,All Stages,Non-emergency,30,1.0,0.6,1.3,region_East Midlands_rtd_non_emergency
2023,0-49,All Persons,All IMD Quintiles,East Midlands,All Stages,Non-emergency,20,0.6,0.4,0.9,region_East Midlands_rtd_non_emergency
allyears,0-49,All Persons,All IMD Quintiles,East Midlands,All Stages,Non-emergency,145,0.7,0.6,0.8,
2016,0-49,All Persons,All IMD Quintiles,East Midlands,Early,All Routes,15,0.6,0.3,0.9,region_East Midlands_stage_early
2017,0-49,All Persons,All IMD Quintiles,East Midlands,Early,All Routes,20,0.6,0.4,0.9,region_East Midlands_stage_early
2018,0-49,All Persons,All IMD Quintiles,East Midlands,Early,All Routes,15,0.5,0.3,0.8,region_East Midlands_stage_early
2019,0-49,All Persons,All IMD Quintiles,East Midlands,Early,All Routes,SUPPRESSED; n<10,0.3,0.1,0.5,region_East Midlands_stage_early
2020,0-49,All Persons,All IMD Quintiles,East Midlands,Early,All Routes,10,0.3,0.1,0.6,region_East Midlands_stage_early
2021,0-49,All Persons,All IMD Quintiles,East Midlands,Early,All Routes,20,0.6,0.4,0.9,region_East Midlands_stage_early
2022,0-49,All Persons,All IMD Quintiles,East Midlands,Early,All Routes,#N/A,#N/A,#N/A,#N/A,region_East Midlands_stage_early
2023,0-49,All Persons,All IMD Quintiles,East Midlands,Early,All Routes,#N/A,#N/A,#N/A,#N/A,region_East Midlands_stage_early
allyears,0-49,All Persons,All IMD Quintiles,East Midlands,Early,All Routes,80,0.4,0.3,0.5,
2016,0-49,All Persons,All IMD Quintiles,East Midlands,Advanced,All Routes,10,0.4,0.2,0.6,region_East Midlands_stage_advanced
2017,0-49,All Persons,All IMD Quintiles,East Midlands,Advanced,All Routes,25,0.8,0.5,1.1,region_East Midlands_stage_advanced
2018,0-49,All Persons,All IMD Quintiles,East Midlands,Advanced,All Routes,10,0.4,0.2,0.6,region_East Midlands_stage_advanced
